id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,age_group
1524,User1524,24.0,Male,Mobile,Bottom,Social Media,Night,1,18-24
2542,User2542,58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1,45-59
119,User119,59.0,Non-Binary,Tablet,Top,News,Night,1,45-59
5881,User5881,26.0,Male,Tablet,Top,News,Morning,1,25-44
9642,User9642,43.0,Male,Mobile,Bottom,Social Media,Evening,1,25-44
1171,User1171,43.0,Male,Mobile,Bottom,Social Media,Night,1,25-44
1612,User1612,40.0,Male,Mobile,Side,News,Evening,1,25-44
9586,User9586,41.0,Female,Tablet,Bottom,News,Afternoon,0,25-44
7661,User7661,48.0,Non-Binary,Mobile,Side,News,Night,1,45-59
4228,User4228,41.0,Non-Binary,Desktop,Side,News,Morning,1,25-44
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1,45-59
120,User120,41.0,Non-Binary,Desktop,Side,News,Night,0,25-44
6143,User6143,29.0,Male,Mobile,Bottom,Social Media,Afternoon,1,25-44
301,User301,59.0,Male,Tablet,Side,Social Media,Evening,1,45-59
5301,User5301,43.0,Male,Tablet,Side,Social Media,Night,1,25-44
5439,User5439,38.0,Male,Tablet,Side,Social Media,Afternoon,1,25-44
9806,User9806,58.0,Female,Tablet,Bottom,News,Evening,1,45-59
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1,45-59
4525,User4525,37.0,Female,Mobile,Top,Entertainment,Morning,0,25-44
6153,User6153,30.0,Female,Mobile,Side,Entertainment,Night,1,25-44
7498,User7498,40.5,Male,Mobile,Side,Shopping,Afternoon,1,25-44
9736,User9736,46.0,Female,Desktop,Bottom,Education,Evening,1,45-59
2244,User2244,42.0,Male,Mobile,Top,Social Media,Evening,0,25-44
4952,User4952,41.0,Female,Mobile,Top,Other,Night,0,25-44
4855,User4855,41.0,Male,Desktop,Top,News,Evening,0,25-44
9590,User9590,41.0,Non-Binary,Tablet,Bottom,News,Morning,0,25-44
813,User813,42.0,Female,Tablet,Top,Education,Morning,1,25-44
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1,45-59
9431,User9431,37.0,Male,Mobile,Top,Entertainment,Afternoon,1,25-44
6935,User6935,43.0,Male,Mobile,Top,Social Media,Morning,0,25-44
2431,User2431,54.0,Male,Desktop,Top,News,Night,1,45-59
3164,User3164,41.0,Female,Desktop,Bottom,News,Evening,1,25-44
4756,User4756,59.0,Male,Mobile,Bottom,Education,Evening,1,45-59
7674,User7674,43.0,Female,Tablet,Bottom,News,Afternoon,1,25-44
6251,User6251,44.0,Non-Binary,Mobile,Side,Shopping,Morning,1,25-44
6751,User6751,41.0,Female,Tablet,Bottom,News,Evening,0,25-44
9996,User9996,48.0,Female,Desktop,Top,Shopping,Evening,0,45-59
2973,User2973,27.0,Non-Binary,Tablet,Bottom,News,Night,1,25-44
6315,User6315,41.0,Non-Binary,Desktop,Top,News,Afternoon,1,25-44
7065,User7065,57.0,Female,Desktop,Side,News,Morning,1,45-59
9412,User9412,34.0,Male,Mobile,Bottom,Social Media,Morning,1,25-44
3458,User3458,41.0,Non-Binary,Tablet,Bottom,News,Evening,0,25-44
6121,User6121,41.0,Non-Binary,Desktop,Top,News,Afternoon,0,25-44
487,User487,28.0,Male,Mobile,Side,Social Media,Afternoon,1,25-44
3266,User3266,41.0,Male,Tablet,Top,News,Afternoon,1,25-44
6553,User6553,42.0,Female,Desktop,Bottom,Education,Morning,1,25-44
8996,User8996,22.0,Female,Tablet,Bottom,News,Evening,0,18-24
503,User503,43.0,Male,Desktop,Side,Social Media,Morning,1,25-44
4581,User4581,51.0,Female,Mobile,Top,Other,Evening,0,45-59
8956,User8956,41.0,Male,Tablet,Top,News,Morning,1,25-44
9990,User9990,25.0,Male,Desktop,Side,Education,Night,1,25-44
7426,User7426,43.0,Male,Mobile,Side,Social Media,Night,0,25-44
6100,User6100,42.0,Female,Desktop,Bottom,Education,Night,1,25-44
3543,User3543,55.0,Non-Binary,Tablet,Top,News,Night,1,45-59
7866,User7866,51.0,Male,Mobile,Top,Social Media,Morning,1,45-59
7917,User7917,41.0,Non-Binary,Tablet,Side,News,Afternoon,0,25-44
63,User63,43.0,Female,Tablet,Top,Social Media,Night,0,25-44
5340,User5340,19.0,Male,Mobile,Side,Social Media,Night,0,18-24
2907,User2907,41.0,Male,Mobile,Side,News,Evening,0,25-44
7545,User7545,25.0,Male,Tablet,Bottom,News,Evening,0,25-44
3746,User3746,41.0,Male,Desktop,Top,News,Morning,1,25-44
6906,User6906,43.0,Male,Mobile,Top,Social Media,Morning,1,25-44
1665,User1665,19.0,Male,Mobile,Bottom,Social Media,Afternoon,0,18-24
1762,User1762,41.0,Male,Desktop,Side,Entertainment,Afternoon,1,25-44
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0,45-59
4086,User4086,37.0,Female,Desktop,Top,Entertainment,Morning,1,25-44
9896,User9896,45.0,Male,Desktop,Side,News,Afternoon,0,45-59
1503,User1503,19.0,Non-Binary,Tablet,Side,News,Afternoon,1,18-24
571,User571,43.0,Male,Tablet,Bottom,Social Media,Afternoon,0,25-44
7591,User7591,41.0,Female,Desktop,Top,News,Night,0,25-44
5531,User5531,34.0,Male,Desktop,Top,News,Night,1,25-44
5419,User5419,41.0,Male,Tablet,Top,News,Morning,1,25-44
9921,User9921,41.0,Non-Binary,Desktop,Side,News,Night,0,25-44
5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1,45-59
5821,User5821,31.0,Female,Tablet,Bottom,News,Evening,0,25-44
9992,User9992,40.5,Male,Desktop,Side,Shopping,Evening,1,25-44
9153,User9153,61.0,Non-Binary,Tablet,Bottom,News,Morning,0,60+
2096,User2096,48.0,Non-Binary,Desktop,Top,News,Night,1,45-59
4777,User4777,41.0,Male,Tablet,Side,News,Morning,0,25-44
6683,User6683,41.0,Male,Tablet,Side,News,Night,1,25-44
6880,User6880,41.0,Female,Mobile,Side,News,Night,1,25-44
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1,25-44
5986,User5986,32.0,Female,Desktop,Side,News,Evening,0,25-44
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0,60+
8948,User8948,25.0,Female,Mobile,Bottom,Education,Evening,1,25-44
3109,User3109,37.0,Female,Tablet,Side,Entertainment,Evening,1,25-44
3042,User3042,43.0,Male,Mobile,Side,Social Media,Afternoon,1,25-44
3225,User3225,23.0,Female,Tablet,Bottom,Entertainment,Morning,1,18-24
3801,User3801,26.0,Male,Desktop,Side,News,Evening,1,25-44
1190,User1190,42.0,Female,Tablet,Bottom,Education,Morning,1,25-44
1077,User1077,41.0,Non-Binary,Desktop,Top,News,Afternoon,1,25-44
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1,25-44
6060,User6060,41.0,Male,Desktop,Top,News,Morning,0,25-44
4697,User4697,37.0,Female,Mobile,Side,Entertainment,Afternoon,1,25-44
6849,User6849,39.0,Female,Mobile,Top,Entertainment,Night,1,25-44
1908,User1908,26.0,Male,Mobile,Bottom,Education,Evening,1,25-44
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0,45-59
4856,User4856,21.0,Non-Binary,Desktop,Top,News,Evening,0,18-24
1197,User1197,62.0,Male,Mobile,Top,Social Media,Night,1,60+
9307,User9307,43.5,Male,Mobile,Top,Other,Evening,0,25-44
8683,User8683,26.0,Male,Desktop,Side,News,Evening,0,25-44
820,User820,39.0,Female,Mobile,Side,Social Media,Afternoon,0,25-44
8010,User8010,24.0,Male,Desktop,Top,News,Evening,0,18-24
2364,User2364,54.0,Female,Mobile,Side,Other,Afternoon,0,45-59
4507,User4507,42.0,Female,Tablet,Bottom,Other,Evening,0,25-44
1549,User1549,56.0,Female,Desktop,Top,News,Afternoon,1,45-59
4630,User4630,19.0,Male,Tablet,Side,Shopping,Evening,0,18-24
3577,User3577,58.0,Male,Desktop,Side,Social Media,Afternoon,0,45-59
5845,User5845,41.0,Female,Tablet,Bottom,News,Morning,0,25-44
255,User255,31.0,Female,Desktop,Bottom,Entertainment,Night,1,25-44
4621,User4621,20.0,Female,Desktop,Top,News,Afternoon,1,18-24
1704,User1704,61.0,Female,Tablet,Bottom,Shopping,Evening,1,60+
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0,25-44
8957,User8957,43.0,Male,Mobile,Top,Social Media,Morning,1,25-44
3314,User3314,35.0,Male,Tablet,Top,News,Evening,0,25-44
5995,User5995,43.5,Female,Mobile,Top,Other,Morning,0,25-44
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0,25-44
1325,User1325,41.0,Non-Binary,Desktop,Side,News,Evening,1,25-44
756,User756,43.5,Female,Mobile,Top,Other,Evening,0,25-44
5194,User5194,53.0,Male,Mobile,Top,News,Afternoon,1,45-59
4611,User4611,20.0,Female,Tablet,Bottom,News,Night,0,18-24
2565,User2565,40.5,Non-Binary,Desktop,Bottom,Shopping,Night,0,25-44
2965,User2965,40.5,Male,Tablet,Top,Shopping,Night,0,25-44
8041,User8041,43.0,Male,Mobile,Bottom,Social Media,Afternoon,1,25-44
6258,User6258,41.0,Female,Tablet,Top,News,Night,1,25-44
3375,User3375,52.0,Non-Binary,Mobile,Bottom,Education,Morning,1,45-59
7805,User7805,36.0,Male,Mobile,Top,Social Media,Afternoon,0,25-44
6449,User6449,42.0,Female,Desktop,Top,Shopping,Night,1,25-44
9647,User9647,34.0,Male,Desktop,Side,News,Evening,0,25-44
9400,User9400,42.0,Female,Mobile,Side,Education,Night,1,25-44
1914,User1914,42.0,Male,Tablet,Bottom,Shopping,Night,1,25-44
9732,User9732,27.0,Male,Tablet,Bottom,News,Evening,0,25-44
5642,User5642,57.0,Male,Tablet,Bottom,News,Morning,0,45-59
9689,User9689,37.0,Male,Desktop,Bottom,Entertainment,Afternoon,1,25-44
7655,User7655,39.0,Female,Tablet,Bottom,Other,Evening,0,25-44
5780,User5780,37.0,Female,Mobile,Bottom,Entertainment,Afternoon,1,25-44
2976,User2976,43.5,Female,Mobile,Top,Other,Afternoon,0,25-44
6262,User6262,43.5,Female,Tablet,Bottom,Other,Morning,0,25-44
3663,User3663,43.0,Male,Mobile,Top,Social Media,Night,0,25-44
8103,User8103,43.5,Female,Mobile,Top,Other,Night,0,25-44
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0,25-44
9136,User9136,41.0,Male,Desktop,Side,News,Afternoon,1,25-44
6974,User6974,53.0,Female,Desktop,Side,Education,Evening,0,45-59
1486,User1486,41.0,Non-Binary,Desktop,Side,News,Morning,0,25-44
606,User606,37.0,Female,Desktop,Bottom,Entertainment,Afternoon,1,25-44
6438,User6438,53.0,Female,Tablet,Top,Shopping,Night,1,45-59
9842,User9842,43.0,Female,Mobile,Top,Shopping,Afternoon,1,25-44
8817,User8817,53.0,Male,Tablet,Bottom,Education,Night,1,45-59
1020,User1020,42.0,Female,Mobile,Side,Education,Morning,1,25-44
1635,User1635,54.0,Female,Tablet,Top,News,Evening,1,45-59
3776,User3776,43.5,Male,Mobile,Top,Other,Evening,0,25-44
5412,User5412,35.0,Male,Mobile,Top,Social Media,Evening,1,25-44
6989,User6989,28.0,Male,Mobile,Bottom,Shopping,Afternoon,1,25-44
8018,User8018,41.0,Male,Desktop,Side,News,Night,1,25-44
2529,User2529,41.0,Non-Binary,Desktop,Top,News,Afternoon,1,25-44
3285,User3285,41.0,Male,Tablet,Side,News,Evening,0,25-44
2156,User2156,46.0,Male,Tablet,Side,News,Afternoon,1,45-59
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1,45-59
9418,User9418,20.0,Male,Tablet,Side,News,Night,1,18-24
8190,User8190,26.0,Male,Mobile,Side,Social Media,Afternoon,1,25-44
1140,User1140,28.0,Female,Mobile,Side,Other,Evening,0,25-44
3149,User3149,41.0,Male,Desktop,Top,News,Night,0,25-44
5629,User5629,41.0,Non-Binary,Tablet,Top,News,Night,1,25-44
9748,User9748,47.0,Female,Tablet,Bottom,Entertainment,Afternoon,0,45-59
9699,User9699,43.5,Female,Mobile,Top,Other,Morning,0,25-44
2809,User2809,41.0,Non-Binary,Desktop,Top,News,Afternoon,0,25-44
4089,User4089,41.0,Male,Tablet,Bottom,News,Afternoon,0,25-44
2885,User2885,42.0,Non-Binary,Desktop,Bottom,Education,Afternoon,0,25-44
8068,User8068,40.5,Female,Mobile,Side,Shopping,Afternoon,0,25-44
5082,User5082,44.0,Female,Mobile,Top,Shopping,Afternoon,1,25-44
1345,User1345,34.0,Female,Desktop,Top,Entertainment,Morning,0,25-44
4938,User4938,28.0,Male,Desktop,Side,Social Media,Evening,1,25-44
5623,User5623,53.0,Female,Desktop,Side,News,Morning,1,45-59
5329,User5329,54.0,Male,Tablet,Side,Education,Evening,1,45-59
5955,User5955,59.0,Non-Binary,Tablet,Side,News,Evening,1,45-59
5100,User5100,42.0,Female,Mobile,Side,Shopping,Morning,1,25-44
6129,User6129,36.0,Male,Tablet,Bottom,Shopping,Evening,1,25-44
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0,25-44
8459,User8459,38.0,Male,Tablet,Bottom,Entertainment,Morning,1,25-44
3215,User3215,33.0,Male,Mobile,Side,Social Media,Afternoon,0,25-44
4151,User4151,41.0,Non-Binary,Tablet,Bottom,News,Evening,0,25-44
8176,User8176,41.0,Male,Desktop,Top,News,Afternoon,0,25-44
2142,User2142,34.0,Male,Desktop,Top,Shopping,Afternoon,1,25-44
4212,User4212,43.5,Female,Mobile,Top,Other,Evening,0,25-44
9137,User9137,35.0,Female,Desktop,Side,Social Media,Night,0,25-44
8085,User8085,35.0,Male,Mobile,Top,Social Media,Evening,0,25-44
933,User933,41.0,Female,Tablet,Bottom,News,Night,0,25-44
4779,User4779,41.0,Female,Tablet,Top,News,Afternoon,0,25-44
4925,User4925,47.0,Female,Desktop,Side,Entertainment,Evening,0,45-59
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1,18-24
3818,User3818,27.0,Female,Desktop,Top,Shopping,Night,0,25-44
6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0,45-59
7779,User7779,36.0,Non-Binary,Tablet,Bottom,News,Morning,0,25-44
6441,User6441,41.0,Male,Desktop,Top,News,Night,1,25-44
550,User550,41.0,Male,Desktop,Top,News,Morning,0,25-44
3644,User3644,37.0,Female,Mobile,Side,Entertainment,Evening,1,25-44
7422,User7422,20.0,Female,Desktop,Top,News,Evening,1,18-24
5732,User5732,41.0,Male,Tablet,Bottom,News,Evening,1,25-44
8222,User8222,27.0,Female,Tablet,Side,News,Afternoon,1,25-44
4450,User4450,45.0,Male,Mobile,Top,Social Media,Evening,0,45-59
3277,User3277,41.0,Female,Mobile,Side,News,Evening,0,25-44
8174,User8174,20.0,Male,Mobile,Bottom,Social Media,Afternoon,1,18-24
1127,User1127,41.0,Male,Desktop,Side,News,Afternoon,1,25-44
3345,User3345,39.0,Male,Desktop,Side,Social Media,Night,1,25-44
453,User453,37.0,Female,Tablet,Top,Entertainment,Afternoon,1,25-44
4345,User4345,42.0,Female,Desktop,Bottom,Education,Afternoon,0,25-44
6268,User6268,41.0,Male,Desktop,Top,News,Night,1,25-44
329,User329,36.0,Male,Desktop,Top,News,Night,0,25-44
9266,User9266,38.0,Female,Mobile,Bottom,Education,Afternoon,1,25-44
6917,User6917,43.0,Male,Mobile,Bottom,Social Media,Afternoon,0,25-44
8561,User8561,52.0,Male,Mobile,Bottom,Social Media,Evening,1,45-59
9448,User9448,37.0,Male,Mobile,Side,Entertainment,Morning,0,25-44
7272,User7272,41.0,Non-Binary,Tablet,Bottom,News,Afternoon,0,25-44
234,User234,19.0,Female,Tablet,Bottom,Social Media,Morning,1,18-24
2129,User2129,47.0,Male,Tablet,Bottom,Social Media,Evening,1,45-59
7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0,45-59
8515,User8515,37.0,Male,Mobile,Bottom,Entertainment,Night,1,25-44
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1,45-59
5571,User5571,41.0,Female,Desktop,Side,News,Evening,0,25-44
9611,User9611,37.0,Male,Desktop,Side,Entertainment,Afternoon,1,25-44
5737,User5737,29.0,Female,Desktop,Top,Shopping,Night,0,25-44
7788,User7788,63.0,Male,Mobile,Side,Social Media,Night,0,60+
7471,User7471,40.5,Female,Mobile,Bottom,Shopping,Morning,1,25-44
9811,User9811,43.0,Male,Mobile,Side,Social Media,Morning,0,25-44
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1,18-24
217,User217,41.0,Female,Tablet,Bottom,News,Morning,0,25-44
6864,User6864,43.0,Male,Desktop,Side,Social Media,Evening,0,25-44
6462,User6462,36.0,Female,Tablet,Side,Education,Evening,1,25-44
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1,25-44
7214,User7214,62.0,Male,Mobile,Top,Social Media,Night,0,60+
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1,45-59
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1,60+
6602,User6602,41.0,Male,Desktop,Side,News,Night,1,25-44
5501,User5501,28.0,Female,Mobile,Bottom,Social Media,Evening,1,25-44
5084,User5084,37.0,Non-Binary,Tablet,Side,Entertainment,Evening,1,25-44
9618,User9618,41.0,Male,Tablet,Bottom,News,Morning,0,25-44
7659,User7659,19.0,Male,Mobile,Top,News,Night,0,18-24
2003,User2003,41.0,Male,Desktop,Bottom,News,Afternoon,0,25-44
4429,User4429,34.0,Female,Mobile,Top,Entertainment,Morning,1,25-44
998,User998,41.0,Female,Tablet,Top,News,Evening,1,25-44
8226,User8226,41.0,Non-Binary,Tablet,Top,News,Morning,1,25-44
9220,User9220,21.0,Female,Mobile,Side,Social Media,Night,1,18-24
1420,User1420,62.0,Non-Binary,Desktop,Bottom,News,Morning,1,60+
2485,User2485,57.0,Non-Binary,Mobile,Bottom,News,Night,1,45-59
4841,User4841,21.0,Female,Mobile,Side,Other,Evening,0,18-24
8316,User8316,41.0,Non-Binary,Desktop,Bottom,News,Evening,0,25-44
3601,User3601,37.0,Female,Mobile,Bottom,Entertainment,Afternoon,1,25-44
9290,User9290,61.0,Female,Desktop,Bottom,Entertainment,Afternoon,1,60+
5258,User5258,50.0,Male,Desktop,Side,Education,Night,0,45-59
885,User885,49.0,Non-Binary,Tablet,Side,News,Afternoon,0,45-59
1110,User1110,43.0,Female,Mobile,Side,Entertainment,Morning,0,25-44
1539,User1539,43.0,Female,Mobile,Bottom,Education,Evening,1,25-44
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1,45-59
5062,User5062,41.0,Male,Tablet,Bottom,News,Night,0,25-44
6125,User6125,18.0,Female,Mobile,Top,Other,Afternoon,0,18-24
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1,25-44
6573,User6573,55.0,Female,Desktop,Side,News,Evening,1,45-59
2133,User2133,40.5,Female,Tablet,Side,Shopping,Night,0,25-44
3014,User3014,43.0,Male,Mobile,Top,Social Media,Afternoon,1,25-44
6619,User6619,36.0,Male,Tablet,Bottom,Social Media,Evening,0,25-44
579,User579,37.0,Female,Tablet,Side,Entertainment,Evening,0,25-44
3938,User3938,43.0,Male,Mobile,Bottom,Social Media,Evening,1,25-44
949,User949,43.0,Male,Desktop,Top,Social Media,Morning,0,25-44
6145,User6145,43.5,Female,Mobile,Side,Other,Evening,0,25-44
9075,User9075,36.0,Male,Mobile,Top,Social Media,Night,1,25-44
3658,User3658,45.0,Female,Desktop,Side,Shopping,Night,1,45-59
2760,User2760,55.0,Female,Mobile,Top,Other,Morning,0,45-59
4616,User4616,43.5,Female,Mobile,Side,Other,Evening,0,25-44
9550,User9550,58.0,Non-Binary,Desktop,Top,Education,Afternoon,1,45-59
9227,User9227,43.0,Male,Mobile,Side,Social Media,Morning,1,25-44
5522,User5522,19.0,Female,Desktop,Bottom,News,Night,0,18-24
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1,45-59
5733,User5733,43.0,Male,Mobile,Bottom,Social Media,Morning,0,25-44
6771,User6771,40.5,Female,Desktop,Side,Shopping,Morning,1,25-44
8442,User8442,54.0,Male,Tablet,Bottom,News,Evening,0,45-59
393,User393,40.0,Female,Desktop,Bottom,Shopping,Morning,1,25-44
8252,User8252,41.0,Female,Tablet,Side,News,Night,1,25-44
8947,User8947,22.0,Male,Desktop,Bottom,Entertainment,Night,1,18-24
6423,User6423,40.5,Female,Tablet,Side,Shopping,Afternoon,0,25-44
9245,User9245,42.0,Female,Tablet,Top,Education,Morning,0,25-44
3232,User3232,22.0,Female,Tablet,Bottom,News,Night,0,18-24
6479,User6479,41.0,Female,Tablet,Side,News,Afternoon,1,25-44
4254,User4254,19.0,Female,Desktop,Bottom,News,Afternoon,1,18-24
1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0,25-44
3641,User3641,33.0,Male,Tablet,Top,News,Night,1,25-44
9807,User9807,35.0,Male,Tablet,Bottom,Education,Night,1,25-44
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0,25-44
1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0,25-44
645,User645,41.0,Female,Tablet,Side,News,Morning,0,25-44
4015,User4015,44.0,Male,Tablet,Side,News,Evening,1,25-44
8208,User8208,42.0,Female,Tablet,Top,Education,Evening,1,25-44
5425,User5425,37.0,Non-Binary,Mobile,Side,Entertainment,Afternoon,1,25-44
4874,User4874,43.0,Male,Mobile,Top,Social Media,Night,0,25-44
4950,User4950,28.0,Male,Mobile,Side,Social Media,Morning,1,25-44
24,User24,41.0,Male,Tablet,Side,News,Afternoon,1,25-44
7450,User7450,41.0,Male,Desktop,Side,News,Night,1,25-44
2019,User2019,42.0,Non-Binary,Tablet,Top,News,Night,0,25-44
1446,User1446,41.0,Non-Binary,Desktop,Bottom,News,Night,1,25-44
7750,User7750,46.0,Male,Mobile,Side,Social Media,Morning,1,45-59
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Evening,1,25-44
4178,User4178,41.0,Female,Mobile,Top,Other,Morning,0,25-44
6487,User6487,19.0,Non-Binary,Tablet,Side,News,Morning,1,18-24
3057,User3057,43.5,Female,Mobile,Top,Other,Afternoon,0,25-44
6765,User6765,46.0,Female,Tablet,Side,Entertainment,Morning,1,45-59
5193,User5193,50.0,Female,Desktop,Side,Education,Afternoon,1,45-59
2555,User2555,41.0,Male,Tablet,Bottom,News,Evening,1,25-44
4773,User4773,59.0,Male,Desktop,Top,Entertainment,Morning,0,45-59
9128,User9128,43.5,Female,Mobile,Top,Other,Morning,0,25-44
8372,User8372,52.0,Male,Desktop,Top,News,Afternoon,0,45-59
400,User400,52.0,Male,Tablet,Side,News,Evening,1,45-59
8334,User8334,41.0,Non-Binary,Desktop,Top,News,Evening,0,25-44
1965,User1965,41.0,Female,Tablet,Bottom,News,Morning,0,25-44
5403,User5403,61.0,Male,Desktop,Top,Education,Night,0,60+
3333,User3333,30.0,Female,Tablet,Top,News,Evening,1,25-44
9617,User9617,63.0,Female,Tablet,Side,Shopping,Afternoon,1,60+
7792,User7792,43.0,Male,Mobile,Bottom,Social Media,Evening,0,25-44
3708,User3708,43.0,Non-Binary,Desktop,Top,News,Evening,0,25-44
3280,User3280,29.0,Male,Tablet,Side,News,Morning,0,25-44
8832,User8832,49.0,Non-Binary,Tablet,Side,News,Night,1,45-59
5945,User5945,42.0,Non-Binary,Desktop,Side,News,Evening,0,25-44
9723,User9723,43.0,Male,Mobile,Side,Social Media,Evening,1,25-44
5664,User5664,32.0,Male,Mobile,Top,Social Media,Night,0,25-44
1945,User1945,20.0,Female,Tablet,Side,Entertainment,Night,1,18-24
8058,User8058,25.0,Male,Mobile,Top,Social Media,Afternoon,0,25-44
560,User560,43.0,Male,Desktop,Side,Social Media,Morning,0,25-44
3299,User3299,44.0,Non-Binary,Tablet,Side,News,Evening,1,25-44
2336,User2336,32.0,Non-Binary,Tablet,Side,News,Morning,1,25-44
4587,User4587,41.0,Male,Tablet,Top,News,Evening,0,25-44
1369,User1369,43.0,Male,Desktop,Bottom,Social Media,Morning,1,25-44
9162,User9162,43.0,Male,Mobile,Top,Social Media,Night,0,25-44
5756,User5756,51.0,Male,Tablet,Top,Shopping,Afternoon,1,45-59
373,User373,34.0,Female,Mobile,Top,Education,Evening,1,25-44
1148,User1148,25.0,Male,Mobile,Bottom,Social Media,Afternoon,1,25-44
5276,User5276,42.0,Female,Tablet,Side,Shopping,Afternoon,1,25-44
1540,User1540,45.0,Non-Binary,Tablet,Top,News,Evening,0,45-59
6188,User6188,20.0,Male,Desktop,Bottom,Entertainment,Morning,1,18-24
7988,User7988,41.0,Female,Mobile,Bottom,News,Evening,0,25-44
346,User346,29.0,Male,Mobile,Top,News,Evening,0,25-44
6160,User6160,41.0,Non-Binary,Tablet,Bottom,News,Evening,0,25-44
6980,User6980,62.0,Male,Desktop,Bottom,Social Media,Night,1,60+
5951,User5951,41.0,Non-Binary,Tablet,Top,News,Evening,0,25-44
7526,User7526,41.0,Male,Tablet,Side,News,Evening,1,25-44
